district,Location,GPO,LIB,NDP,Other parties,PCP,Total,Others,difference,winner,Diff %,Diff % others,full_Location,lon,lat
074 Oakville,ROEDEAN CO-OPERATIVE HOMES,6,20,9,7,39,81,22,-19,PCP,0.2345679012345679,0.8636363636363636,ROEDEAN CO-OPERATIVE HOMES; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,ROYAL CANADIAN LEGION BRANCH 486,37,245,68,35,312,697,140,-67,PCP,0.09612625538020086,0.4785714285714286,ROYAL CANADIAN LEGION BRANCH 486; Oakville; Ontario; Canada,-79.709398,43.467264
074 Oakville,SHERIDAN PUBLIC SCHOOL,38,255,49,42,285,669,129,-30,PCP,0.04484304932735426,0.23255813953488372,SHERIDAN PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.68993425311018,43.48170055
074 Oakville,SIR JOHN COLBORNE REC. CENTRE FOR SNR.,46,333,62,54,423,918,162,-90,PCP,0.09803921568627451,0.5555555555555556,SIR JOHN COLBORNE REC. CENTRE FOR SNR.; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,SIR RICHARD TOWERS,7,22,5,12,49,95,24,-27,PCP,0.28421052631578947,1.125,SIR RICHARD TOWERS; Oakville; Ontario; Canada,-79.696777,43.405214
074 Oakville,SOVEREIGN I,1,17,4,9,38,69,14,-21,PCP,0.30434782608695654,1.5,SOVEREIGN I; Oakville; Ontario; Canada,-79.708004,43.400241
074 Oakville,SOVEREIGN II,7,19,7,7,27,67,21,-8,PCP,0.11940298507462686,0.38095238095238093,SOVEREIGN II; Oakville; Ontario; Canada,-79.708004,43.400241
074 Oakville,ST. BERNADETTE C.E.S.,40,288,57,27,367,779,124,-79,PCP,0.10141206675224647,0.6370967741935484,ST. BERNADETTE C.E.S.; Oakville; Ontario; Canada,-79.737916,43.429593
074 Oakville,ST. CUTHBERT'S ANGLICAN CHURCH,31,233,34,25,327,650,90,-94,PCP,0.14461538461538462,1.0444444444444445,ST. CUTHBERT'S ANGLICAN CHURCH; Oakville; Ontario; Canada,-79.6494862,43.4727825
074 Oakville,ST. DOMINIC CATHOLIC ELEMENTARY SCHOOL,72,413,85,69,482,1121,226,-69,PCP,0.06155218554861731,0.3053097345132743,ST. DOMINIC CATHOLIC ELEMENTARY SCHOOL; Oakville; Ontario; Canada,-79.71949684972499,43.400545300000005
074 Oakville,ST. DOMINIC PARISH,53,478,67,71,678,1347,191,-200,PCP,0.14847809948032664,1.0471204188481675,ST. DOMINIC PARISH; Oakville; Ontario; Canada,-79.718803,43.399677
